"event_id","disaster_type","location","severity_level","estimated_damage","affected_population"
7186,"Volcanic Eruption","Turkey",10,4103652.67,55157
13279,"Wildfire","India",10,3073093.89,48981
4548,"Volcanic Eruption","Chile",10,5763442.53,46580
7195,"Wildfire","Indonesia",10,12826446.25,54824
7197,"Flood","Indonesia",10,13962607.36,57917
7198,"Earthquake","Chile",10,15454273.84,61368
2442,"Flood","Chile",10,12269102.37,49225
7200,"Hurricane","Indonesia",10,7442046.58,67755
237,"Flood","Philippines",10,12728005.1,46756
7206,"Wildfire","India",10,11421132.58,42692
14020,"Drought","India",10,14615269.55,51149
2455,"Drought","USA",10,5392277.71,59403
16885,"Drought","India",10,4682378.74,36734
16900,"Landslide","Indonesia",10,3825941.47,62225
7227,"Volcanic Eruption","USA",10,4798060.47,54348
16901,"Hurricane","Chile",10,14946618.12,59446
4534,"Drought","Chile",10,15020429.97,55905
7237,"Hurricane","Chile",10,5463466.24,51595
7244,"Drought","Chile",10,12545784.97,42811
7246,"Hurricane","Indonesia",10,8997414.57,59562
2456,"Drought","India",10,12680340.19,54656
2459,"Earthquake","Turkey",10,18682878.72,64165
7255,"Drought","Italy",10,13202085.3,62219
7260,"Hurricane","Indonesia",10,10968088.37,46280
238,"Hurricane","USA",10,7631210.32,50089
7273,"Flood","Indonesia",10,5697875.68,57388
7274,"Volcanic Eruption","Italy",10,4416267.73,40697
7279,"Hurricane","Indonesia",10,3833621.32,58939
14029,"Earthquake","Turkey",10,3118575.68,46837
16909,"Landslide","Chile",10,12109404.22,43769
7287,"Earthquake","Indonesia",10,4648331.52,51814
827,"Wildfire","Philippines",10,6873328.69,59062
5630,"Volcanic Eruption","Italy",10,16393436.17,55201
2482,"Wildfire","Italy",10,8068812.36,53364
7300,"Drought","Indonesia",10,16782033.19,56112
16917,"Hurricane","Japan",10,14740558.79,62418
16918,"Hurricane","Japan",10,10108061.05,34683
7304,"Flood","Turkey",10,5292085.09,43842
7306,"Wildfire","Philippines",10,10166899.43,39486
13081,"Landslide","Italy",10,11014290.02,43996
1855,"Earthquake","Turkey",10,4717246.23,43774
14990,"Flood","Turkey",10,8601490.91,55414
494,"Drought","Turkey",10,11455834.3,43387
7327,"Landslide","Philippines",10,12640815.49,52858
2495,"Volcanic Eruption","USA",10,11207866.02,49432
16930,"Flood","Philippines",10,4247013.27,57212
7333,"Drought","India",10,10577948.8,43880
14037,"Hurricane","Turkey",10,9068415.27,41825
2499,"Drought","Japan",10,14919621.55,62108
16938,"Flood","Chile",10,6787753.81,48515
2500,"Landslide","Philippines",10,15233102.67,63038
15005,"Hurricane","Turkey",10,12758568.59,47292
5639,"Volcanic Eruption","Japan",10,12432028.59,45126
2506,"Wildfire","Chile",10,7237507.44,48794
13524,"Wildfire","Japan",10,16417537.18,57246
7358,"Volcanic Eruption","Indonesia",10,12432561.88,47869
16958,"Volcanic Eruption","Italy",10,9334131.14,51613
15014,"Wildfire","Japan",10,6382895.36,50181
16969,"Volcanic Eruption","Turkey",10,11688182.73,40014
7368,"Volcanic Eruption","Japan",10,9267410.46,55476
5042,"Landslide","Japan",10,13368794.51,45819
7373,"Earthquake","Chile",10,5035665.11,38350
7374,"Hurricane","Italy",10,7863342.54,52471
7375,"Flood","Chile",10,4904635.11,55045
7387,"Flood","Philippines",10,11853757.28,55953
2520,"Hurricane","Indonesia",10,4556400.3,47186
14040,"Flood","Indonesia",10,12171540.22,48056
7400,"Drought","Italy",10,11844407.19,41320
7402,"Landslide","Chile",10,11141180.32,48326
2525,"Earthquake","Chile",10,3065290.32,47755
7409,"Landslide","USA",10,9159500.62,35275
2530,"Hurricane","Turkey",10,3451212.73,49330
7411,"Earthquake","Turkey",10,15893150.35,53461
841,"Hurricane","Italy",10,11258601.25,45996
7425,"Earthquake","Turkey",10,6324423.85,60221
2536,"Volcanic Eruption","Turkey",10,9125910.8,44165
13530,"Volcanic Eruption","Japan",10,10333795.82,46972
842,"Landslide","India",10,14227528.07,55310
7441,"Drought","Indonesia",10,10535345.32,42816
2539,"Hurricane","Turkey",10,4738506.58,44143
13532,"Drought","USA",10,10606116.65,44840
7451,"Volcanic Eruption","Indonesia",10,10195711.01,53487
16986,"Hurricane","Chile",10,5706776.51,51180
1430,"Landslide","Turkey",10,6950178.98,40309
7460,"Earthquake","Indonesia",10,9159418.18,51306
2544,"Wildfire","Turkey",10,6292223.17,59708
14053,"Volcanic Eruption","Philippines",10,4993164.04,61293
13292,"Volcanic Eruption","Turkey",10,8809271.94,42545
2549,"Drought","Turkey",10,10968661.64,47091
2550,"Wildfire","Philippines",10,7126604.61,47626
7474,"Drought","Turkey",10,3342312.32,58480
1875,"Wildfire","Italy",10,15103713.29,52386
5043,"Drought","USA",10,5874412.87,44852
7484,"Flood","India",10,11675866.09,55828
5668,"Drought","Indonesia",10,4361500.85,39416
4808,"Volcanic Eruption","Turkey",10,13981832.12,62664
60,"Hurricane","Italy",10,9524548.19,59609
15044,"Landslide","Philippines",10,13139996.64,63690
7494,"Drought","India",10,8280468.75,63832
846,"Flood","Philippines",10,8500478.48,45291
542,"Volcanic Eruption","India",10,11012037.0,54688
7506,"Landslide","Turkey",10,3536752.64,49325
4814,"Hurricane","India",10,7297148.54,50824
1883,"Hurricane","Italy",10,4872513.44,59682
2557,"Landslide","India",10,11514337.57,52519
17031,"Wildfire","Japan",10,11505672.24,42810
15049,"Drought","Indonesia",10,15347528.81,57088
1545,"Drought","Indonesia",10,10799415.15,52133
2568,"Volcanic Eruption","Philippines",10,8201306.97,53175
7523,"Wildfire","Turkey",10,12935835.21,72520
17038,"Wildfire","Philippines",10,11753404.88,61138
7533,"Drought","Turkey",10,9194377.79,44345
17049,"Wildfire","Turkey",10,7537147.21,36998
15057,"Hurricane","Turkey",10,8743462.61,58754
7556,"Hurricane","India",10,4126771.28,50011
7559,"Volcanic Eruption","Chile",10,13323487.77,46585
13294,"Earthquake","Turkey",10,6841935.42,46802
7566,"Drought","Japan",10,9235801.01,52557
7567,"Volcanic Eruption","Chile",10,5833114.75,49557
5697,"Landslide","Japan",10,6494538.91,52512
17072,"Wildfire","Italy",10,2979852.9,46606
17073,"Earthquake","Japan",10,18584372.1,62954
7597,"Flood","Indonesia",10,6574418.85,50756
15063,"Wildfire","Turkey",10,6000244.26,39185
7601,"Wildfire","Italy",10,9279279.33,41538
1547,"Landslide","USA",10,10382709.99,56474
7606,"Hurricane","Japan",10,9907844.33,39273
5698,"Drought","Chile",10,7936002.81,47898
7611,"Hurricane","India",10,8380298.16,53602
5054,"Wildfire","Italy",10,2388419.3,46380
7619,"Landslide","Italy",10,14315939.97,51700
4617,"Wildfire","India",10,5555451.22,46732
17091,"Flood","Japan",10,7252641.76,45512
15082,"Volcanic Eruption","Philippines",10,6937021.2,56250
13123,"Drought","Italy",10,13200094.65,48870
2579,"Volcanic Eruption","India",10,3168476.77,55047
7639,"Wildfire","USA",10,4866173.43,51214
15085,"Earthquake","Italy",10,2444292.86,41956
2584,"Volcanic Eruption","Italy",10,9790836.8,45213
5701,"Drought","Japan",10,9852984.14,32883
5704,"Drought","Turkey",10,15094309.7,63298
2598,"Earthquake","Turkey",10,8087429.25,53603
2601,"Drought","India",10,2873916.57,55959
15088,"Earthquake","India",10,11494181.48,51397
17111,"Earthquake","Chile",10,8339845.38,53698
7663,"Hurricane","Indonesia",10,15703055.72,63262
7668,"Wildfire","Chile",10,8544461.91,28982
1889,"Volcanic Eruption","Chile",10,12998483.92,47030
7672,"Landslide","Turkey",10,4462222.15,42816
13551,"Hurricane","Indonesia",10,2832042.05,49954
17126,"Earthquake","Japan",10,4389577.45,38611
15100,"Hurricane","India",10,9606480.63,53397
17128,"Drought","Indonesia",10,5683364.85,56904
7697,"Wildfire","Philippines",10,9052717.25,68611
14086,"Flood","Philippines",10,8324587.68,68297
14093,"Wildfire","Chile",10,8715205.1,44010
17135,"Earthquake","Indonesia",10,13739985.72,54329
65,"Wildfire","Turkey",10,3723151.48,55379
7711,"Volcanic Eruption","Philippines",10,3949938.0,45732
17139,"Landslide","Chile",10,11775230.58,52282
4619,"Volcanic Eruption","USA",10,2391726.13,46083
7715,"Flood","USA",10,3994743.74,38023
7716,"Wildfire","Japan",10,10570563.37,51458
2622,"Landslide","India",10,12666230.13,44750
2640,"Drought","Japan",10,8920132.16,40964
2642,"Landslide","Indonesia",10,2330301.55,41771
15120,"Drought","Chile",10,13370749.54,49854
5063,"Drought","India",10,12975034.85,57141
17152,"Flood","Japan",10,8668521.34,47121
7747,"Hurricane","Italy",10,15118805.92,57529
17166,"Wildfire","USA",10,5367211.71,50777
17171,"Earthquake","USA",10,14464773.25,59527
15135,"Volcanic Eruption","Philippines",10,11802559.01,47729
7760,"Earthquake","Philippines",10,6658468.56,62900
15136,"Wildfire","Japan",10,12434588.87,44007
7764,"Wildfire","USA",10,6711465.83,47204
2651,"Hurricane","USA",10,12029112.0,47230
15137,"Volcanic Eruption","Philippines",10,6118653.06,50033
2656,"Earthquake","Indonesia",10,12995731.01,46848
17179,"Landslide","Indonesia",10,13537242.02,64679
473,"Wildfire","Turkey",10,10202963.07,49364
5718,"Volcanic Eruption","Indonesia",10,7390938.94,56178
860,"Earthquake","USA",10,8675637.36,69678
5067,"Earthquake","Turkey",10,3416870.33,34773
15145,"Earthquake","India",10,9732919.68,47725
7800,"Drought","India",10,11712126.19,55922
15147,"Wildfire","Italy",10,7013967.76,37576
2679,"Earthquake","Philippines",10,8923288.49,49564
13557,"Volcanic Eruption","India",10,11654546.48,47797
17213,"Landslide","USA",10,5625018.39,47779
7814,"Wildfire","USA",10,5640153.01,56735
4824,"Drought","Turkey",10,4193838.95,28705
13306,"Earthquake","USA",10,6559060.09,42057
7831,"Wildfire","USA",10,2255916.14,39761
1462,"Wildfire","Indonesia",10,7400136.11,42818
15162,"Flood","Philippines",10,4583245.89,33858
7849,"Earthquake","Philippines",10,2946743.26,49103
15166,"Drought","Japan",10,6331262.06,58063
17228,"Landslide","Philippines",10,5690024.06,48662
5074,"Flood","USA",10,8614155.0,51204
7861,"Volcanic Eruption","USA",10,6599617.28,46118
15175,"Hurricane","Chile",10,10172444.97,56568
7866,"Landslide","Turkey",10,3735502.84,50411
2694,"Volcanic Eruption","Chile",10,12158582.6,55173
13566,"Drought","Turkey",10,7877260.61,45242
5077,"Wildfire","Turkey",10,12865383.13,61543
17248,"Landslide","Chile",10,11441294.03,60583
17250,"Wildfire","Turkey",10,8931116.38,38607
17253,"Volcanic Eruption","Japan",10,5083211.94,56792
7884,"Flood","Indonesia",10,11678207.86,47303
17255,"Volcanic Eruption","Japan",10,7143186.25,36971
17256,"Flood","Indonesia",10,2118987.0,40450
7889,"Drought","Indonesia",10,10926012.77,53674
15182,"Landslide","USA",10,11203142.28,43413
14130,"Flood","Italy",10,3305797.36,46436
4827,"Earthquake","Japan",10,10553892.18,53603
7895,"Wildfire","USA",10,9010967.29,36311
17292,"Landslide","Turkey",10,4101469.78,56415
17294,"Drought","Italy",10,6719753.67,38849
7903,"Wildfire","Japan",10,5501790.11,41979
2716,"Drought","USA",10,6897988.8,55221
2718,"Earthquake","India",10,7721313.66,36205
17295,"Wildfire","USA",10,7773224.26,41837
7914,"Hurricane","USA",10,6695424.63,47568
17297,"Volcanic Eruption","India",10,9111762.73,50424
13567,"Volcanic Eruption","Italy",10,10106695.93,39583
17307,"Landslide","Indonesia",10,5952649.03,49472
17308,"Wildfire","Japan",10,5283668.53,48696
2725,"Drought","Chile",10,6612477.15,52311
862,"Earthquake","Japan",10,15232395.99,51110
15201,"Flood","USA",10,7604768.14,33389
2732,"Hurricane","Philippines",10,17362130.5,58201
17313,"Volcanic Eruption","Italy",10,4266551.42,43894
14138,"Drought","USA",10,5895271.99,31065
7952,"Volcanic Eruption","USA",10,10802562.83,45912
5089,"Flood","Indonesia",10,4782981.14,43596
459,"Earthquake","Indonesia",10,5423414.33,42069
2739,"Landslide","India",10,13026672.31,44553
5093,"Volcanic Eruption","Italy",10,10896616.95,45648
15209,"Volcanic Eruption","Indonesia",10,15278603.71,58786
7991,"Earthquake","India",10,8838826.63,55819
7992,"Drought","Italy",10,9454040.19,67674
7993,"Wildfire","USA",10,13082472.63,47468
7995,"Earthquake","India",10,8514854.56,48588
8007,"Earthquake","Japan",10,8807717.54,44571
15210,"Drought","USA",10,9643661.99,47827
13321,"Landslide","Italy",10,7901509.89,44524
496,"Volcanic Eruption","Italy",10,8043257.87,35734
8014,"Volcanic Eruption","Japan",10,5703267.1,46248
2750,"Hurricane","Turkey",10,13238025.0,58956
4844,"Drought","USA",10,3935536.52,57531
2751,"Volcanic Eruption","Philippines",10,12107460.78,69178
17359,"Hurricane","Indonesia",10,8684006.05,49732
8048,"Hurricane","Chile",10,12598545.54,47387
2752,"Earthquake","India",10,3667117.04,56926
2753,"Volcanic Eruption","Indonesia",10,3674914.11,42069
5752,"Hurricane","Chile",10,7155532.29,45546
8057,"Wildfire","Philippines",10,9535170.36,44336
8062,"Hurricane","India",10,7100023.33,46503
8063,"Hurricane","Indonesia",10,14193176.63,51929
2758,"Wildfire","Chile",10,15274432.8,60347
17365,"Wildfire","India",10,5369126.95,66793
17367,"Wildfire","Turkey",10,12170592.45,40911
13577,"Hurricane","Turkey",10,4944460.82,58872
8075,"Landslide","Japan",10,4111867.11,50460
15236,"Landslide","Turkey",10,13220419.19,51890
5756,"Landslide","Indonesia",10,5369497.54,48170
17378,"Hurricane","USA",10,6734517.02,48967
13580,"Wildfire","Italy",10,9117425.57,38689
15242,"Earthquake","Philippines",10,14701526.39,50001
15243,"Wildfire","Philippines",10,5311028.32,46868
8095,"Earthquake","Indonesia",10,13877860.88,58073
5765,"Flood","Turkey",10,16993156.74,62490
17389,"Volcanic Eruption","Turkey",10,7679505.43,43651
8106,"Flood","Japan",10,14885866.5,50060
8107,"Earthquake","Japan",10,3033908.83,53101
5768,"Landslide","Chile",10,8491663.5,57975
5104,"Hurricane","USA",10,2722716.06,48740
17403,"Hurricane","Italy",10,7908283.09,36246
13582,"Flood","Japan",10,10665532.38,58889
17408,"Hurricane","Italy",10,4282052.65,48996
877,"Landslide","Italy",10,3401930.02,61195
17409,"Landslide","USA",10,15233092.29,60731
14160,"Volcanic Eruption","Japan",10,17930217.05,75147
2796,"Earthquake","Indonesia",10,5781471.79,46775
2800,"Drought","USA",10,12299228.41,48323
2806,"Landslide","Chile",10,10805756.35,54193
14162,"Flood","Turkey",10,13227763.52,48082
8163,"Volcanic Eruption","Turkey",10,3804771.08,52378
5773,"Wildfire","Indonesia",10,5511987.53,58218
17423,"Volcanic Eruption","Italy",10,15131377.8,55117
15264,"Hurricane","Indonesia",10,3091781.71,45357
8176,"Landslide","India",10,8345483.99,37316
15266,"Earthquake","Chile",10,13540154.2,67524
5124,"Landslide","India",10,8978743.58,51711
15270,"Landslide","India",10,8079587.2,42451
2820,"Wildfire","Japan",10,3798122.59,51145
8197,"Volcanic Eruption","Philippines",10,5232142.32,48928
8212,"Volcanic Eruption","Turkey",10,12718944.33,47482
2821,"Hurricane","Japan",10,6806359.13,51091
8220,"Earthquake","USA",10,11368249.65,44941
5774,"Landslide","Philippines",10,14310139.86,58986
8226,"Earthquake","Philippines",10,7142350.37,36996
885,"Volcanic Eruption","Indonesia",10,8324107.48,54720
17448,"Wildfire","Turkey",10,6111606.84,38803
8231,"Drought","Turkey",10,14401940.65,54634
8237,"Hurricane","India",10,2947208.86,40128
17452,"Hurricane","India",10,5356416.45,54181
8243,"Drought","Italy",10,3628277.9,54072
15271,"Earthquake","Indonesia",10,3548251.07,61010
5775,"Flood","Philippines",10,4758046.09,44770
8255,"Drought","Philippines",10,7350685.3,41894
8258,"Drought","USA",10,3251459.09,47280
17460,"Flood","Turkey",10,7726629.35,39546
17461,"Volcanic Eruption","India",10,6090082.86,34759
4713,"Volcanic Eruption","Japan",10,10851068.65,38025
8273,"Drought","Italy",10,6752915.78,40383
8275,"Wildfire","USA",10,9323906.27,43521
13048,"Hurricane","USA",10,13100429.6,58350
8281,"Landslide","India",10,7445873.87,51513
8283,"Wildfire","Philippines",10,11910816.61,47672
8284,"Wildfire","Japan",10,10440571.21,59688
17474,"Flood","Indonesia",10,5958210.9,64021
8292,"Volcanic Eruption","Philippines",10,5641885.46,44776
8297,"Hurricane","Philippines",10,13111278.85,52692
15290,"Volcanic Eruption","Indonesia",10,4938119.34,49196
8307,"Hurricane","Indonesia",10,11531975.82,48122
8308,"Volcanic Eruption","Chile",10,11254370.59,54769
13589,"Flood","Indonesia",10,2715048.09,46760
17492,"Wildfire","Chile",10,9661641.01,55102
8313,"Hurricane","Japan",10,5268488.18,51593
15293,"Wildfire","Indonesia",10,4281531.79,39361
5786,"Earthquake","Philippines",10,8297822.29,52078
8327,"Volcanic Eruption","Chile",10,12447415.7,51891
17501,"Earthquake","Chile",10,3256460.81,63140
5130,"Volcanic Eruption","India",10,3870691.37,54556
17522,"Earthquake","Indonesia",10,13829632.8,49606
898,"Earthquake","Japan",10,6542930.82,44405
8337,"Volcanic Eruption","India",10,4488576.62,49711
899,"Landslide","Turkey",10,6794946.86,54372
8344,"Drought","Indonesia",10,6062523.05,42252
17527,"Flood","Turkey",10,4470452.75,45195
8349,"Earthquake","Philippines",10,5761331.97,58672
8350,"Wildfire","India",10,7935222.74,32682
8352,"Drought","Philippines",10,6072707.15,47306
17529,"Earthquake","India",10,4094919.66,43455
8360,"Flood","USA",10,7420973.46,50026
902,"Earthquake","Chile",10,3473692.55,51144
8363,"Wildfire","Japan",10,15826715.5,65971
17531,"Drought","Japan",10,13855507.11,57858
266,"Flood","Turkey",10,11142225.41,53399
1554,"Drought","Indonesia",10,11129144.05,58124
8384,"Drought","Indonesia",10,6492123.5,51144
2860,"Drought","Japan",10,4637878.26,39478
8386,"Flood","India",10,12252571.47,55653
17534,"Drought","USA",10,6174838.19,40001
17540,"Volcanic Eruption","Indonesia",10,6634100.73,50653
2876,"Volcanic Eruption","Turkey",10,9743704.28,55105
8397,"Earthquake","India",10,7683028.17,51466
17542,"Volcanic Eruption","Philippines",10,8613161.18,42732
8408,"Landslide","Philippines",10,8489642.91,48229
8412,"Drought","India",10,8556042.37,52666
15301,"Volcanic Eruption","Japan",10,3246198.57,47146
13593,"Landslide","Italy",10,6551516.25,51412
17556,"Earthquake","Turkey",10,3462582.83,54167
